web-scraper-order,web-scraper-start-url,vol,vol-href,title,title-href,abs
"1641093346-303","http://ijere.iaescore.com/index.php/IJERE/issue/archive","Vol 9, No 1: March 2020","http://ijere.iaescore.com/index.php/IJERE/issue/view/550","Why some religious individuals are not emotionally smart? The explanatory role of spirituality","http://ijere.iaescore.com/index.php/IJERE/article/view/20455","In two studies, we intend to investigate whether spirituality can explain the relationship between intrinsic religious orientation (IRO) and emotional intelligence (EI). Seventy-three worshipping houses-going adults, aged 18-56, had participated in the study. Data was collected by employing Intrinsic Scale of Religious Orientation Scale, Spirituality Assessment Scale, and the Schutte Self-Report Emotional Intelligence Test. Our first study discovered that IRO is not a significant predictor of EI. Nevertheless, Bootstrap analysis with 5000 samples and 95% interval confidence indicated that spirituality fully mediated the link between intrinsic religious orientation and emotional intelligence in our second study. In other words, without high level of spirituality one’s religious orientation does not significantly predict their emotional intelligence. Limitation and suggestion are discussed at the end of the paper."
"1641093177-244","http://ijere.iaescore.com/index.php/IJERE/issue/archive","Vol 8, No 3: September 2019","http://ijere.iaescore.com/index.php/IJERE/issue/view/552","The impact of parental involvement and education on academic achievement in elementary school","http://ijere.iaescore.com/index.php/IJERE/article/view/20249","The academic achievement of students in schools is subject to a variety of factors, many of which are beyond the control of the student. Factors such as parental involvement, parental level of education, and disability all influence the academic achievement and learning of students. The study analyzed nation-wide survey data on students in elementary school and investigates the relationship between student achievement and multiple variables. The variables were parental involvement, and the existence of Autism Spectrum Disorder (ASD) or other disability. Results indicated that students, both ASD and typically developing, have lower parent involvement if they are successful in school."
"1641093953-529","http://ijere.iaescore.com/index.php/IJERE/issue/archive","Vol 10, No 3: September 2021","http://ijere.iaescore.com/index.php/IJERE/issue/view/561","Student experience of using mobile devices for learning chemistry","http://ijere.iaescore.com/index.php/IJERE/article/view/21420","Mobile devices have been utilized as an emerging learning tool in the 21st century to support the learning of chemistry. This study aimed to identify matriculation students’ learning experience with regards to the use of mobile devices for learning chemistry. The study employed a qualitative case study approach, which was carried out in a matriculation college. Online diaries and interviews were utilized as the instruments of the study. A total of 84 students initially reflected their learning journey using an online diary, whereas 17 students who were active in mobile learning were purposely selected for the interview. The findings revealed that students have positive and negative experiences towards the use of mobile devices for learning chemistry. They positively perceived that using a mobile device for learning chemistry promotes knowledge construction, visualization of abstract concepts, self-control in learning and intellectual discourse. However, the issue of learning resources quality challenged their available cognitive capacity for learning chemistry. This study offered educators with insights about the importance of incorporating mobile devices for learning chemistry. Educators can plan the appropriate instructional strategies for chemistry based on the students’ learning needs."
"1641093502-362","http://ijere.iaescore.com/index.php/IJERE/issue/archive","Vol 9, No 3: September 2020","http://ijere.iaescore.com/index.php/IJERE/issue/view/556","Interaction monitoring model of logo counseling website for college students’ healthy self-esteem","http://ijere.iaescore.com/index.php/IJERE/article/view/20525","The purpose of this research is to develop the client-counselor interaction monitoring model of the logo counseling website. The model attempts to help counselors in guiding and helping the students (clients) to achieve healthy self-esteem. Machine learning techniques integrated into the model will ensure that the recommendations can be available for counselors and supervisors in the near real-time environment. For the first implementation, a chatbot application is developed and tested with excellent responses from the students. Further research is needed to implement the complete specifications of the interaction monitoring model on the logo counseling website."
"1641093291-286","http://ijere.iaescore.com/index.php/IJERE/issue/archive","Vol 9, No 1: March 2020","http://ijere.iaescore.com/index.php/IJERE/issue/view/550","Literation movement for leading schools: Best practice and leadership power","http://ijere.iaescore.com/index.php/IJERE/article/view/20279","The school literacy movement is the first step of scientific development, aimed at enhancing science education. It has an important role in encouraging every citizen to have basic knowledge of the nature of science through active participation. This study aims to analyze the implementation of the School Literacy Movement program designated by the Ministry of Education and Culture due to the poor reading interest Indonesia students from several international surveys. The study was conducted at Al Mujahidin Muhammadiyah Middle School in Yogyakarta, using the qualitative method of data collection. The results show that the school literacy program is not only specific for reading and writing but for also other academics as activities such as numerals, science, digitalization, finance, culture, and citizenship. In conclusion, the implementation of a structured and systematic program positive impacts on the growth of literacy achievement for all school members from students, teachers, down to employees in Indonesia."
"1641093581-392","http://ijere.iaescore.com/index.php/IJERE/issue/archive","Vol 9, No 4: December 2020","http://ijere.iaescore.com/index.php/IJERE/issue/view/557","The National Budget Circular 461: Emerging trends in Philippines higher education promotion system","http://ijere.iaescore.com/index.php/IJERE/article/view/20822","This research aimed to identify trends on promotion challenges and concerns (CaCs) encountered by the faculty members in selected State universities and colleges (SUCs) in the Philippines. To specifically identify significant CaCs, the study employed the mixed-method research design utilizing the delphi model technique for data collection. Thematic data coding was thoroughly conducted to come up with a consensus from the experts in the field of promotion in higher education. There were 10 focal persons from the SUCs in the national capital region (NCR) purposively chosen as the study participants. The identified challenges and concerns as the trend indicators were categorized into themes such as appreciation of documents, faculty engagement for promotion, information dissemination, schedule of implementation, responsiveness of the national budget circular No. 461 (NBC 461) focal persons to promotion-related concerns, faculty engagement to promotion, and stakeholder’s engagement to promotion. These indicators would be a relevant implication to the holistic and a uniform faculty promotion scheme in higher education institutions of the country. Hence, the result of the study shall be utilized by the SUCs policymakers in crafting the standardized NBC 461 policy guideline that is inclusive for implementing equal promotion opportunity as well as job security."
"1641093343-302","http://ijere.iaescore.com/index.php/IJERE/issue/archive","Vol 9, No 1: March 2020","http://ijere.iaescore.com/index.php/IJERE/issue/view/550","Preservice Turkish language teachers’ attitudes toward Anatolian dialects","http://ijere.iaescore.com/index.php/IJERE/article/view/20471","This study aimed to reveal preservice Turkish Language teachers' attitudes toward the use of Anatolian dialects in education in terms of their genders and years at university. The participants of the study are 201 preservice teachers who are 1st, 2nd, 3rd and 4th-year students studying at Turkish Language Teaching undergraduate program at Tokat Gaziosmanpasa University in the 2017-2018 academic year. The study is a correlational survey employing a descriptive research method. The data of the study were collected employing a scale named Attitude Scale Toward Anatolian Dialects. Using SPSS 22.0, t-Test for independent samples and One-Way ANOVA for independent samples were employed to analyze the data.  As a result of the study, it is found out that there is a significant difference between the attitudes toward Anatolian dialects in favor of males; and being only between 2nd and 4th-year students, there is a significant difference between the attitudes in favor of 2nd-year students."
"1641094213-625","http://ijere.iaescore.com/index.php/IJERE/issue/archive","Vol 11, No 1: March 2022","http://ijere.iaescore.com/index.php/IJERE/issue/view/563","Integration of madrasah diniyah learning systems for strengthening religious moderation in Indonesian universities","http://ijere.iaescore.com/index.php/IJERE/article/view/22210","Madrasah Diniyah is a very special Islamic education system in Indonesia that can be implemented from primary, secondary, and even higher education levels. This study aims to explain the integration of the madrasah system in Islamic Religious Universities in the framework of strengthening religious moderation. The research method used is qualitative with a symbolic interactionalism approach. The main informants in this study were eleven people from the elements of the chancellor, vice-rector 1, head of Madrasah Diniyah (Mudhir), teachers/ustadz, and students at Tulungagung State Islamic Institute (IAIN) Tulungagung. The research implementation procedure is technically carried out by the stages of data collection, reduction, presentation, and analysis. There are three stages in data analysis, namely the stages of restatement, description, and interpretation of data. This study found that the integration of the Madrasah Diniyah system into the learning system at IAIN Tulungagung is quite effective in increasing students' religious knowledge. The implementation of Madrasah Diniyah needs the support of all stakeholders in higher education. The obstacles faced need to be minimized in terms of infrastructure improvement and participant readiness. The Madrasah Diniyah system which is integrated into the learning system in universities is a breakthrough in the world of higher education. This integration model is a model that can be developed in other Islamic religious colleges which generally have almost the same problems."
"1641093566-386","http://ijere.iaescore.com/index.php/IJERE/issue/archive","Vol 9, No 4: December 2020","http://ijere.iaescore.com/index.php/IJERE/issue/view/557","An educational game on the theories of driver education curriculum: An evaluation","http://ijere.iaescore.com/index.php/IJERE/article/view/20659","The purpose of this study was to evaluate the effectiveness of using an educational game application among driving school students on their understanding of driving rules and regulations. The application was developed and named as An Educational Game on the Theories of Driver Education Curriculum (DEC) to help students improve their visualization, understanding and memorization of the theories of driving rules and regulations as well as to be more prepared before taking the driving theory test. A preliminary study was conducted and it indicated that students had a hard time in visualizing, understanding and memorizing the theories of driving. The Game Development Life Cycle (GDLC) was implemented as a methodology to develop the DEC application which consists of initiation, pre-production, production, testing, beta, and release phases. The effectiveness of the DEC application was measured by Game-Based Learning Evaluation Model (GEM). The findings indicated that educational game helped students to visualize, memorize and understand the theories of driving easily."
"1641092999-184","http://ijere.iaescore.com/index.php/IJERE/issue/archive","Vol 7, No 4: December 2018","http://ijere.iaescore.com/index.php/IJERE/issue/view/499","Hope as a Unique Agent of Resilience in Socio-economically Disadvantaged Adolescents","http://ijere.iaescore.com/index.php/IJERE/article/view/15354","The aim of this study was to explore the predictive effect of hope for resilience in socio-economically disadvantaged adolescents. Participants of the study were 692 (395 female, 297 male) students attending to 9th, 10th and 11th grades. The age range of the sample was 14-19 (M = 16.24, SD=.89). A convenient sampling was used to select the participants who are picked from four high schools located in low income regions. In order to collect data, The 14-Item Resilience Scale (Wagnild, 2010) and Dispositional Hope Scale (Snyder et al., 1991) were used as data collection instruments. The predictive effect of hope on resilience was analyzed through linear regression. Regression analysis yielded that hope explains 48% of the variance in the resilience scores of participants. This result indicates that hope is a powerful significant predictor of resilience for socio-economically disadvantaged adolescents."
